IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211307,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211308,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
OUT,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,54,,,,
IN,148.201.140.219,194.132.173.241,TCP,50868,80,1488321211309,\Device\NPF_{62D177F3-ADDB-4DBF-AE78-55D08A3DEB8F},58:20:B1:78:01:E3,1434,,,,
